player,position,college,cmbn_score,athlete_score,prod_score,name_norm,pos_group
Chandler Rivers,DB,Duke,75.7,77.4,69.8,chandler rivers,CB
Brian Parker II,OL,Duke,74.9,72.7,71.5,brian parker,IOL
Wesley Williams,DL,Duke,62.6,65.9,72.2,wesley williams,DL
Dae'Quan Wright,TE,Mississippi,76,71.1,77,dae'quan wright,TE
Mansoor Delane,DB,LSU,77.4,64.6,81.5,mansoor delane,CB
Omar Cooper Jr.,WR,Indiana,80,76,80.7,omar cooper,WR
Louis Moore,DB,Indiana,71.1,66,73.6,louis moore,CB
Namdi Obiazor,LB,TCU,62.6,72.5,53.1,namdi obiazor,LB
Damonic Williams,DL,Oklahoma,63.4,69.2,60.7,damonic williams,DL
Jordan Hudson,WR,SMU,61.4,66.2,65.3,jordan hudson,WR
Jordyn Tyson,WR,Arizona State,86.2,79.9,79.7,jordyn tyson,WR
Alex Harkey,OL,Oregon,72.3,70.6,64.5,alex harkey,IOL
Eli Heidenreich,RB,Navy,69.3,74.7,69.7,eli heidenreich,RB
Jude Bowry,OL,Boston College,72.4,88.7,56.4,jude bowry,IOL
Derrick Moore,LB,Michigan,72.7,67.9,77.8,derrick moore,LB
Marlin Klein,TE,Michigan,65.5,71.1,58.2,marlin klein,TE
Jimmy Rolder,LB,Michigan,67.1,75.1,59.2,jimmy rolder,LB
Jaishawn Barham,LB,Michigan,63.1,62.5,58.9,jaishawn barham,LB
Red Murdock,LB,Buffalo,66.7,66.9,66.3,red murdock,LB
Xavier Nwankpa,DB,Iowa,67.9,78.3,62.3,xavier nwankpa,CB
TJ Hall,DB,Iowa,64.7,58.5,62.3,tj hall,CB
